"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Topias\VSCodeProjects\soilbird-backend\.eslintrc.js", "JavaScript", 0, 0, 0, 24, 0, 1, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\README.md", "Markdown", 0, 0, 51, 0, 2, 21, 74
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\.eslintrc.js", "JavaScript", 0, 0, 0, 24, 0, 1, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\README.md", "Markdown", 0, 0, 51, 0, 2, 21, 74
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\package.json", "JSON", 65, 0, 0, 0, 6, 0, 71
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.module.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\main.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\test\app.e2e-spec.ts", "TypeScript", 0, 20, 0, 0, 0, 5, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\tsconfig.build.json", "JSON", 3, 0, 0, 0, 2, 0, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\tsconfig.json", "JSON", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Topias\VSCodeProjects\soilbird-backend\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\package-lock.json", "JSON", 11192, 0, 0, 0, 0, 1, 11193
"c:\Users\Topias\VSCodeProjects\soilbird-backend\package.json", "JSON", 83, 0, 0, 0, 6, 0, 89
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.module.ts", "TypeScript", 0, 47, 0, 0, 0, 3, 50
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.controller.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.module.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.service.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\constants.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\main.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\create-notification.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\notifications.dto.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 15
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\update-notification.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\entities\notification.entity.ts", "TypeScript", 0, 52, 0, 0, 0, 20, 72
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.controller.ts", "TypeScript", 0, 81, 0, 0, 0, 13, 94
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.module.ts", "TypeScript", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.service.ts", "TypeScript", 0, 514, 0, 0, 28, 41, 583
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\dto\create-property.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\dto\update-property.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\entities\sports_property.entity.ts", "TypeScript", 0, 18, 0, 0, 0, 9, 27
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\entities\turfs.entity.ts", "TypeScript", 0, 20, 0, 0, 0, 9, 29
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\property.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\property.controller.ts", "TypeScript", 0, 79, 0, 0, 0, 12, 91
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\property.module.ts", "TypeScript", 0, 15, 0, 0, 0, 2, 17
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\property.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\property.service.ts", "TypeScript", 0, 142, 0, 0, 1, 15, 158
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\roles.decorator.ts", "TypeScript", 0, 2, 0, 0, 3, 2, 7
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\dto\create-soilscout.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\dto\soilscout.dto.ts", "TypeScript", 0, 68, 0, 0, 0, 5, 73
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\dto\update-soilscout.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\entities\soilscout.entity.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout-error.interceptor.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout-error.interceptor.ts", "TypeScript", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout.controller.ts", "TypeScript", 0, 46, 0, 0, 2, 9, 57
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout.module.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\soilscout\soilscout.service.ts", "TypeScript", 0, 219, 0, 0, 2, 20, 241
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\tokens.decorator.ts", "TypeScript", 0, 2, 0, 0, 4, 2, 8
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\credential.level.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\dto\create-user.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\dto\update-user.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\entities\users.entity.ts", "TypeScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\jwt-auth-guard.ts", "TypeScript", 0, 37, 0, 0, 4, 8, 49
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\jwt.strategy.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\local-auth.guard.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 6
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\local.strategy.ts", "TypeScript", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.controller.ts", "TypeScript", 0, 84, 0, 0, 0, 12, 96
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.guard.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.guard.ts", "TypeScript", 0, 30, 0, 0, 3, 4, 37
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.module.ts", "TypeScript", 0, 23, 0, 0, 0, 3, 26
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\users\users.service.ts", "TypeScript", 0, 157, 0, 0, 35, 15, 207
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\water\water.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\water\water.controller.ts", "TypeScript", 0, 21, 0, 0, 0, 3, 24
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\water\water.module.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\water\water.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\water\water.service.ts", "TypeScript", 0, 28, 0, 0, 0, 4, 32
"c:\Users\Topias\VSCodeProjects\soilbird-backend\test\app.e2e-spec.ts", "TypeScript", 0, 20, 0, 0, 0, 5, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Topias\VSCodeProjects\soilbird-backend\tsconfig.build.json", "JSON", 3, 0, 0, 0, 2, 0, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\tsconfig.json", "JSON", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Topias\VSCodeProjects\soilbird-backend\webpack-hmr.config.ts", "TypeScript", 0, 21, 0, 0, 0, 3, 24
"Total", "-", 11410, 2196, 102, 48, 102, 408, 14266